fichier,phrase_id,position,mot,onset,offset,POS,surprisal_bits,surprise_structurale,oov,freq_zipf,n_phones
audio01.TextGrid,7,13,its,53.980,54.170,PRP$,1.1591,5.5377,0,6.14,3
audio01.TextGrid,7,14,reflection,54.170,54.640,NN,12.0996,1.5077,0,4.17,9
audio01.TextGrid,7,15,on,54.640,54.780,IN,4.3011,2.4452,0,6.91,2
audio01.TextGrid,7,16,the,54.780,54.860,DT,0.7806,1.7802,0,7.73,2
audio01.TextGrid,7,17,tropic,54.860,55.280,NN,4.8869,1.2945,1,2.83,6
audio01.TextGrid,7,18,sea,55.280,55.650,NN,4.8869,3.0508,1,5.06,2
audio01.TextGrid,7,19,were,55.650,55.820,VBD,3.9492,4.3734,0,6.34,2
audio01.TextGrid,7,20,on,55.820,55.980,IN,4.3011,3.1950,0,6.91,2
audio01.TextGrid,7,21,his,55.980,56.160,PRP$,2.6039,5.8447,0,6.51,3
audio01.TextGrid,7,22,cheeks,56.160,56.630,NN,4.8869,1.5077,1,3.82,4
audio01.TextGrid,8,1,the,57.690,57.760,DT,0.7806,3.6796,0,7.73,2
audio01.TextGrid,8,2,blotches,57.760,58.200,NNS,5.7165,3.6571,1,2.45,7
audio01.TextGrid,8,3,ran,58.200,58.380,VBD,8.9863,3.5104,0,4.87,3
audio01.TextGrid,8,4,well,58.380,58.610,RB,5.9389,3.3995,0,6.03,3
audio01.TextGrid,8,5,down,58.610,58.890,IN,9.0190,3.3997,0,5.88,3
audio01.TextGrid,8,6,the,58.890,58.980,DT,0.7806,1.9329,0,7.73,2
audio01.TextGrid,8,7,sides,58.980,59.290,NNS,9.3921,3.6627,0,4.73,4
audio01.TextGrid,8,8,of,59.290,59.400,IN,2.0839,2.4172,0,7.4,2
audio01.TextGrid,8,9,his,59.400,59.600,PRP$,2.6039,4.8920,0,6.51,3
audio01.TextGrid,8,10,face,59.600,60.070,NN,10.3626,1.5077,0,5.45,3
audio01.TextGrid,8,11,and,60.070,60.220,CC,0.5482,4.6418,0,7.41,3
audio01.TextGrid,8,12,his,60.220,60.410,PRP$,2.6039,6.1568,0,6.51,3
audio01.TextGrid,8,13,hands,60.410,60.870,NNS,9.9770,2.7161,0,5.16,4
audio01.TextGrid,8,14,had,60.870,61.020,VBD,4.2494,4.2843,0,6.33,3
audio01.TextGrid,8,15,the,61.020,61.090,DT,0.7806,3.3065,0,7.73,2
audio01.TextGrid,8,16,deep,61.090,61.370,JJ,5.1180,2.3076,1,5.05,3
audio01.TextGrid,8,17,creased,61.370,61.820,JJ,5.1180,4.0305,1,2.46,5
audio01.TextGrid,8,18,scars,61.820,62.350,NNS,5.7165,1.8278,1,3.76,5
audio01.TextGrid,8,19,from,62.350,62.520,IN,4.6559,2.1158,0,6.63,3
audio01.TextGrid,8,20,handling,62.520,62.900,NN,11.3626,3.0574,0,4.39,7
audio01.TextGrid,8,21,heavy,62.900,63.190,JJ,10.1883,6.4026,0,4.96,4
audio01.TextGrid,8,22,fish,63.190,63.470,NN,4.8869,1.5749,1,4.9,3
audio01.TextGrid,8,23,on,63.470,63.590,IN,4.3011,2.1069,0,6.91,2
audio01.TextGrid,8,24,the,63.590,63.680,DT,0.7806,1.7802,0,7.73,2
audio01.TextGrid,8,25,cords,63.680,64.240,NNS,5.7165,3.6627,1,3.35,5
audio01.TextGrid,9,1,but,64.840,65.070,CC,2.8832,5.5291,0,6.63,3
audio01.TextGrid,9,2,none,65.070,65.290,NN,10.8772,3.8911,0,4.93,3
audio01.TextGrid,9,3,of,65.290,65.390,IN,2.0839,2.6533,0,7.4,2
audio01.TextGrid,9,4,these,65.390,65.580,DT,6.7285,1.7802,0,6.04,3
audio01.TextGrid,9,5,scars,65.580,66.030,NNS,5.7165,3.6627,1,3.76,5
audio01.TextGrid,9,6,were,66.030,66.100,VBD,3.9492,3.5104,0,6.34,2
audio01.TextGrid,9,7,fresh,66.100,66.570,JJ,10.9253,4.5038,0,4.83,4
audio01.TextGrid,10,1,they,67.230,67.350,PRP,2.7059,5.9294,0,6.5,2
audio01.TextGrid,10,2,were,67.350,67.580,VBD,3.9492,2.1088,0,6.34,2
audio01.TextGrid,10,3,as,67.580,67.690,RB,5.7346,3.6893,0,6.77,2
audio01.TextGrid,10,4,old,67.690,68.040,JJ,7.9253,3.4063,0,5.75,3
audio01.TextGrid,10,5,as,68.040,68.160,IN,4.7671,2.6702,0,6.77,2
audio01.TextGrid,10,6,erosions,68.160,68.830,NNS,5.7165,4.3522,1,1.72,7
audio01.TextGrid,10,7,in,68.830,68.920,IN,2.4946,1.9665,0,7.27,2
audio01.TextGrid,10,8,a,68.920,68.980,DT,2.0447,1.7704,0,7.36,1
audio01.TextGrid,10,9,fishless,68.980,69.530,NN,4.8869,1.2945,1,1.32,6
