fichier,phrase_id,position,mot,onset,offset,POS,surprise_incrementale,freq_zipf,n_phones
audio01.TextGrid,19,10,doubted,105.940,106.480,VBD,13.9470,3.44,5
audio01.TextGrid,20,1,it,107.590,107.740,PRP,4.6034,6.95,2
audio01.TextGrid,20,2,was,107.740,107.930,VBD,5.6570,6.82,3
audio01.TextGrid,20,3,papa,107.930,108.250,VBN,9.4206,3.91,4
audio01.TextGrid,20,4,made,108.250,108.560,VBN,11.7901,5.92,3
audio01.TextGrid,20,5,me,108.560,108.650,PRP,13.7818,6.48,2
audio01.TextGrid,20,6,leave,108.650,109.060,VBP,12.2156,5.34,3
audio01.TextGrid,20,7,i,109.300,109.410,JJ,9.8788,7.09,1
audio01.TextGrid,20,8,am,109.410,109.510,VBP,14.0190,5.78,2
audio01.TextGrid,20,9,a,109.510,109.560,DT,5.2468,7.36,1
audio01.TextGrid,20,10,boy,109.560,109.840,NN,14.8619,5.17,2
audio01.TextGrid,20,11,and,109.840,110.030,CC,6.3426,7.41,3
audio01.TextGrid,20,12,i,110.030,110.120,NN,10.2411,7.09,1
audio01.TextGrid,20,13,must,110.120,110.360,MD,10.7628,5.68,4
audio01.TextGrid,20,14,obey,110.360,110.660,VB,5.6072,3.83,3
audio01.TextGrid,20,15,him,110.660,110.850,PRP,12.6785,6.11,3
audio01.TextGrid,21,1,i,111.730,111.850,NN,6.9517,7.09,1
audio01.TextGrid,21,2,know,111.850,112.130,VBP,10.1873,6.1,2
audio01.TextGrid,21,3,the,112.430,112.550,DT,3.5286,7.73,2
audio01.TextGrid,21,4,old,112.550,112.720,JJ,10.7260,5.75,3
audio01.TextGrid,21,5,man,112.720,112.950,NN,11.1353,5.82,3
audio01.TextGrid,21,6,said,112.950,113.310,VBD,8.8840,6.01,3
audio01.TextGrid,22,1,it,113.760,113.890,PRP,4.6034,6.95,2
audio01.TextGrid,22,2,is,113.890,114.040,VBZ,4.7885,7.07,2
audio01.TextGrid,22,3,quite,114.040,114.370,RB,13.6587,5.29,4
audio01.TextGrid,22,4,normal,114.370,114.780,JJ,13.0493,5.01,6
audio01.TextGrid,23,1,he,115.950,116.100,PRP,5.5326,6.69,2
audio01.TextGrid,23,2,hasn't,116.100,116.360,RB,8.6268,4.71,6
audio01.TextGrid,23,3,much,116.360,116.600,RB,9.4006,6.0,3
audio01.TextGrid,23,4,faith,116.600,116.980,NN,18.3858,4.82,3
audio01.TextGrid,24,1,no,117.670,118.080,DT,8.9313,6.35,2
audio01.TextGrid,24,2,the,118.360,118.470,DT,6.7736,7.73,2
audio01.TextGrid,24,3,old,118.470,118.670,JJ,10.7667,5.75,3
audio01.TextGrid,24,4,man,118.670,118.910,NN,11.1812,5.82,3
audio01.TextGrid,24,5,said,118.910,119.240,VBD,7.4028,6.01,3
audio01.TextGrid,25,1,but,119.970,120.130,CC,8.3566,6.63,3
audio01.TextGrid,25,2,we,120.130,120.350,PRP,9.0747,6.54,2
audio01.TextGrid,25,3,have,120.350,120.650,VBP,6.3628,6.71,3
audio01.TextGrid,25,4,haven,120.910,121.180,VBN,16.2777,4.13,5
audio01.TextGrid,25,5,t,121.180,121.220,NNS,11.0169,5.43,1
audio01.TextGrid,26,1,we,121.220,121.440,PRP,7.2060,6.54,2
audio01.TextGrid,26,2,yes,122.440,122.880,VBP,16.9711,5.5,3
audio01.TextGrid,26,3,the,123.010,123.090,DT,4.9265,7.73,2
audio01.TextGrid,26,4,boy,123.090,123.300,NN,14.8500,5.17,2
audio01.TextGrid,26,5,said,123.300,123.660,VBD,7.2152,6.01,3
audio01.TextGrid,27,1,can,124.250,124.450,MD,17.9521,6.46,3
audio01.TextGrid,27,2,i,124.450,124.560,VB,11.9762,7.09,1
audio01.TextGrid,27,3,offer,124.560,124.830,NN,11.2565,5.05,3
audio01.TextGrid,27,4,you,124.830,124.990,PRP,10.3188,6.98,2
audio01.TextGrid,27,5,a,124.990,125.030,DT,7.1703,7.36,1
audio01.TextGrid,27,6,beer,125.030,125.300,NN,14.7612,4.7,3
audio01.TextGrid,27,7,on,125.300,125.400,IN,6.9376,6.91,2
audio01.TextGrid,27,8,the,125.400,125.480,DT,2.5013,7.73,2
audio01.TextGrid,27,9,terrace,125.480,125.940,NN,16.1210,3.88,5
audio01.TextGrid,27,10,and,125.940,126.060,CC,5.5315,7.41,2
audio01.TextGrid,27,11,then,126.060,126.220,RB,12.5793,6.07,3
audio01.TextGrid,27,12,we,126.220,126.290,PRP,11.7653,6.54,2
audio01.TextGrid,27,13,ll,126.290,126.320,VBP,6.3767,4.66,1
audio01.TextGrid,27,14,take,126.320,126.550,VB,9.9365,5.92,3
audio01.TextGrid,27,15,the,126.550,126.610,DT,3.3501,7.73,2
audio01.TextGrid,27,16,stuff,126.610,126.890,NN,14.8518,5.14,4
audio01.TextGrid,27,17,home,126.890,127.230,NN,12.3720,5.81,3
audio01.TextGrid,28,1,why,128.170,128.360,WRB,12.8069,5.93,2
audio01.TextGrid,28,2,not,128.360,128.740,RB,9.3504,6.69,3
audio01.TextGrid,28,3,the,129.010,129.120,DT,4.7719,7.73,2
audio01.TextGrid,28,4,old,129.120,129.300,JJ,10.9921,5.75,3
audio01.TextGrid,28,5,man,129.300,129.520,NN,11.1515,5.82,3
audio01.TextGrid,28,6,said,129.520,129.890,VBD,5.5215,6.01,3
audio01.TextGrid,29,1,between,130.510,130.890,IN,12.0875,5.77,6
audio01.TextGrid,29,2,fishermen,130.890,131.500,NNS,9.9596,3.65,7
audio01.TextGrid,29,3,they,133.810,133.940,PRP,8.2530,6.5,2
audio01.TextGrid,29,4,sat,133.940,134.150,VBD,18.3696,4.64,3
audio01.TextGrid,29,5,on,134.150,134.270,IN,9.1291,6.91,2
audio01.TextGrid,29,6,the,134.270,134.360,DT,2.5512,7.73,2
audio01.TextGrid,29,7,terrace,134.360,134.820,NN,16.1070,3.88,5
audio01.TextGrid,29,8,and,134.820,135.040,CC,5.4745,7.41,3
audio01.TextGrid,29,9,many,135.040,135.290,JJ,9.2237,5.91,4
audio01.TextGrid,29,10,of,135.290,135.350,IN,7.2652,7.4,2
audio01.TextGrid,29,11,the,135.350,135.460,DT,2.4567,7.73,2
audio01.TextGrid,29,12,fishermen,135.460,135.860,NNS,9.4753,3.65,7
audio01.TextGrid,29,13,made,135.860,136.130,VBD,11.0571,5.92,3
audio01.TextGrid,29,14,fun,136.130,136.300,NN,8.5415,5.3,3
audio01.TextGrid,29,15,of,136.300,136.390,IN,4.2562,7.4,2
audio01.TextGrid,29,16,the,136.390,136.530,DT,2.4705,7.73,2
audio01.TextGrid,29,17,old,136.530,136.750,JJ,10.7047,5.75,3
audio01.TextGrid,29,18,man,136.750,137.160,NN,11.1476,5.82,3
audio01.TextGrid,29,19,and,137.280,137.450,CC,5.9018,7.41,3
audio01.TextGrid,29,20,he,137.450,137.560,PRP,8.3360,6.69,2
audio01.TextGrid,29,21,was,137.560,137.760,VBD,6.2777,6.82,3
audio01.TextGrid,29,22,not,137.760,137.950,RB,8.3415,6.69,3
audio01.TextGrid,29,23,angry,137.950,138.400,JJ,14.7744,4.66,5
audio01.TextGrid,31,1,the,150.140,150.230,DT,3.2076,7.73,2
audio01.TextGrid,31,2,successful,150.230,150.860,JJ,13.9387,4.94,9
audio01.TextGrid,31,3,fishermen,150.860,151.340,NNS,8.1251,3.65,7
