fichier,phrase_id,position,mot,onset,offset,POS,surprise_llm,freq_zipf,n_phones
audio01.TextGrid,11,15,as,75.160,75.290,IN,4.1034,6.77,2
audio01.TextGrid,11,16,the,75.290,75.390,DT,1.9065,7.73,2
audio01.TextGrid,11,17,sea,75.390,75.750,NN,11.5397,5.06,2
audio01.TextGrid,11,18,and,75.910,76.040,CC,5.1411,7.41,2
audio01.TextGrid,11,19,were,76.040,76.180,VBD,10.0146,6.34,2
audio01.TextGrid,11,20,cheerful,76.180,76.740,JJ,17.4471,3.6,6
audio01.TextGrid,11,21,and,76.740,76.900,CC,2.2234,7.41,3
audio01.TextGrid,11,22,undefeated,76.900,77.660,JJ,16.7761,3.62,9
audio01.TextGrid,12,1,santiago,79.390,80.080,RB,18.0153,3.66,8
audio01.TextGrid,12,2,the,80.330,80.400,DT,11.0761,7.73,2
audio01.TextGrid,12,3,boy,80.400,80.630,NN,11.6105,5.17,2
audio01.TextGrid,12,4,said,80.630,80.900,VBD,11.0614,6.01,3
audio01.TextGrid,12,5,to,80.900,81.000,TO,5.4964,7.43,2
audio01.TextGrid,12,6,him,81.000,81.130,PRP,6.2933,6.11,2
audio01.TextGrid,12,7,as,81.130,81.260,IN,8.0603,6.77,2
audio01.TextGrid,12,8,they,81.260,81.350,PRP,5.6186,6.5,2
audio01.TextGrid,12,9,climbed,81.350,81.700,VBD,11.7418,3.85,5
audio01.TextGrid,12,10,the,81.700,81.770,DT,3.6284,7.73,2
audio01.TextGrid,12,11,bank,81.770,82.110,NN,9.8874,5.16,4
audio01.TextGrid,12,12,from,82.110,82.240,IN,8.1954,6.63,3
audio01.TextGrid,12,13,where,82.240,82.360,WRB,9.8675,6.0,3
audio01.TextGrid,12,14,the,82.360,82.460,DT,2.8420,7.73,2
audio01.TextGrid,12,15,skiff,82.460,82.770,NN,20.5098,2.63,4
audio01.TextGrid,12,16,was,82.770,82.910,VBD,2.6167,6.82,3
audio01.TextGrid,12,17,hauled,82.910,83.140,VBN,21.4037,3.43,4
audio01.TextGrid,12,18,up,83.140,83.360,RP,7.1747,6.39,2
audio01.TextGrid,13,1,i,84.080,84.170,NN,5.7704,7.09,1
audio01.TextGrid,13,2,could,84.170,84.340,MD,14.7898,6.06,3
audio01.TextGrid,13,3,go,84.340,84.480,VB,7.9948,6.03,2
audio01.TextGrid,13,4,with,84.480,84.640,IN,5.4940,6.85,3
audio01.TextGrid,13,5,you,84.640,84.780,PRP,4.3857,6.98,2
audio01.TextGrid,13,6,again,84.780,85.140,RB,7.9949,5.7,4
audio01.TextGrid,13,7,we,85.330,85.420,PRP,11.4798,6.54,2
audio01.TextGrid,13,8,ve,85.420,85.480,VBP,16.6497,4.56,2
audio01.TextGrid,13,9,made,85.480,85.670,VBD,17.1400,5.92,3
audio01.TextGrid,13,10,some,85.670,85.840,DT,6.8829,6.2,3
audio01.TextGrid,13,11,money,85.840,86.220,NN,7.2303,5.64,4
audio01.TextGrid,14,1,the,87.640,87.740,DT,11.8924,7.73,2
audio01.TextGrid,14,2,old,87.740,87.970,JJ,9.2031,5.75,3
audio01.TextGrid,14,3,man,87.970,88.170,NN,4.4194,5.82,3
audio01.TextGrid,14,4,had,88.170,88.330,VBD,8.1385,6.33,3
audio01.TextGrid,14,5,taught,88.330,88.480,VBN,15.5612,4.68,3
audio01.TextGrid,14,6,the,88.480,88.590,DT,4.0171,7.73,2
audio01.TextGrid,14,7,boy,88.590,88.760,NN,8.5446,5.17,2
audio01.TextGrid,14,8,to,88.760,88.870,TO,4.2484,7.43,2
audio01.TextGrid,14,9,fish,88.870,89.240,VB,12.2185,4.9,3
audio01.TextGrid,14,10,and,89.240,89.330,CC,4.3504,7.41,2
audio01.TextGrid,14,11,the,89.330,89.400,DT,6.1009,7.73,2
audio01.TextGrid,14,12,boy,89.400,89.600,NN,2.8701,5.17,2
audio01.TextGrid,14,13,loved,89.600,89.910,VBD,7.3786,5.0,4
audio01.TextGrid,14,14,him,89.910,90.060,PRP,1.3695,6.11,2
audio01.TextGrid,15,1,no,90.830,91.140,DT,13.1520,6.35,2
audio01.TextGrid,15,2,the,91.480,91.600,DT,11.3323,7.73,2
