fichier,phrase_id_con,position_con,mot_con,onset,offset_con,POS,surprisal_bits,oov,phrase_id_dep,position_dep,mot_dep,offset_dep,relation,tete,tete_position,tete_onset,profondeur,dist_pos,dist_temps,est_tete,mot,offset,duree
audio01.TextGrid,11.0,2.0,or,33.92,34.02,CC,2.9456,0.0,7,2,OR,34.02,,FURLED,12.0,36.52,1.0,10.0,2.6000000000000014,False,or,34.02,0.10000000000000142
audio01.TextGrid,11.0,3.0,the,34.02,34.13,DT,0.7806,0.0,7,3,THE,34.13,,FURLED,12.0,36.52,1.0,9.0,2.5,False,the,34.13,0.10999999999999943
audio01.TextGrid,11.0,4.0,gaff,34.13,34.49,NN,4.8869,1.0,7,4,GAFF,34.49,,FURLED,12.0,36.52,1.0,8.0,2.3900000000000006,False,gaff,34.49,0.35999999999999943
audio01.TextGrid,11.0,5.0,and,34.49,34.66,CC,0.5482,0.0,7,5,AND,34.66,,FURLED,12.0,36.52,1.0,7.0,2.030000000000001,False,and,34.66,0.1699999999999946
audio01.TextGrid,11.0,6.0,harpoon,34.66,35.27,NN,4.8869,1.0,7,6,HARPOON,35.27,,FURLED,12.0,36.52,1.0,6.0,1.8600000000000065,False,harpoon,35.27,0.6100000000000065
audio01.TextGrid,11.0,7.0,and,35.61,35.7,CC,0.5482,0.0,7,7,AND,35.7,,FURLED,12.0,36.52,1.0,5.0,0.9100000000000037,False,and,35.7,0.09000000000000341
audio01.TextGrid,11.0,8.0,the,35.7,35.8,DT,0.7806,0.0,7,8,THE,35.8,,FURLED,12.0,36.52,1.0,4.0,0.8200000000000003,False,the,35.8,0.09999999999999432
audio01.TextGrid,11.0,9.0,sail,35.8,36.15,NN,4.8869,1.0,7,9,SAIL,36.15,,FURLED,12.0,36.52,1.0,3.0,0.720000000000006,False,sail,36.15,0.3500000000000014
audio01.TextGrid,11.0,10.0,that,36.15,36.34,DT,6.1623,0.0,7,10,THAT,36.34,,FURLED,12.0,36.52,1.0,2.0,0.37000000000000455,False,that,36.34,0.19000000000000483
audio01.TextGrid,11.0,11.0,was,36.34,36.52,VBD,3.0516,0.0,7,11,WAS,36.52,,FURLED,12.0,36.52,1.0,1.0,0.17999999999999972,False,was,36.52,0.17999999999999972
