fichier,phrase_id,position,mot,onset,offset,relation,tete
audio01.TextGrid,10,11,BRINGS,53.390,53.800,,CHEEKS
audio01.TextGrid,10,12,FROM,53.800,53.980,,CHEEKS
audio01.TextGrid,10,13,ITS,53.980,54.170,,CHEEKS
audio01.TextGrid,10,14,REFLECTION,54.170,54.640,,CHEEKS
audio01.TextGrid,10,15,ON,54.640,54.780,,CHEEKS
audio01.TextGrid,10,16,THE,54.780,54.860,,CHEEKS
audio01.TextGrid,10,17,TROPIC,54.860,55.280,,CHEEKS
audio01.TextGrid,10,18,SEA,55.280,55.650,,CHEEKS
audio01.TextGrid,10,19,WERE,55.650,55.820,,CHEEKS
audio01.TextGrid,10,20,ON,55.820,55.980,,CHEEKS
audio01.TextGrid,10,21,HIS,55.980,56.160,,CHEEKS
audio01.TextGrid,10,22,CHEEKS,56.160,56.630,,OF
audio01.TextGrid,11,1,THE,57.690,57.760,,SIDES
audio01.TextGrid,11,2,BLOTCHES,57.760,58.200,,SIDES
audio01.TextGrid,11,3,RAN,58.200,58.380,,SIDES
audio01.TextGrid,11,4,WELL,58.380,58.610,,SIDES
audio01.TextGrid,11,5,DOWN,58.610,58.890,,SIDES
audio01.TextGrid,11,6,THE,58.890,58.980,,SIDES
audio01.TextGrid,11,7,SIDES,58.980,59.290,,HAD
audio01.TextGrid,11,8,OF,59.290,59.400,,SIDES
audio01.TextGrid,11,9,HIS,59.400,59.600,,HANDS
audio01.TextGrid,11,10,FACE,59.600,60.070,,HANDS
audio01.TextGrid,11,11,AND,60.070,60.220,,HANDS
audio01.TextGrid,11,12,HIS,60.220,60.410,,HANDS
audio01.TextGrid,11,13,HANDS,60.410,60.870,,OF
audio01.TextGrid,11,14,HAD,60.870,61.020,,ROOT
audio01.TextGrid,11,15,THE,61.020,61.090,,ROOT
audio01.TextGrid,11,16,DEEP,61.090,61.370,,CORDS
audio01.TextGrid,11,17,CREASED,61.370,61.820,,CORDS
audio01.TextGrid,11,18,SCARS,61.820,62.350,,CORDS
audio01.TextGrid,11,19,FROM,62.350,62.520,,CORDS
audio01.TextGrid,11,20,HANDLING,62.520,62.900,,CORDS
audio01.TextGrid,11,21,HEAVY,62.900,63.190,,CORDS
audio01.TextGrid,11,22,FISH,63.190,63.470,,CORDS
audio01.TextGrid,11,23,ON,63.470,63.590,,CORDS
audio01.TextGrid,11,24,THE,63.590,63.680,,CORDS
audio01.TextGrid,11,25,CORDS,63.680,64.240,,ROOT
audio01.TextGrid,12,1,BUT,64.840,65.070,,FRESH
audio01.TextGrid,12,2,NONE,65.070,65.290,,FRESH
audio01.TextGrid,12,3,OF,65.290,65.390,,FRESH
audio01.TextGrid,12,4,THESE,65.390,65.580,,FRESH
audio01.TextGrid,12,5,SCARS,65.580,66.030,,FRESH
audio01.TextGrid,12,6,WERE,66.030,66.100,,FRESH
audio01.TextGrid,12,7,FRESH,66.100,66.570,,ROOT
audio01.TextGrid,13,1,THEY,67.230,67.350,,OLD
audio01.TextGrid,13,2,WERE,67.350,67.580,,OLD
audio01.TextGrid,13,3,AS,67.580,67.690,,OLD
audio01.TextGrid,13,4,OLD,67.690,68.040,,ROOT
audio01.TextGrid,13,5,AS,68.040,68.160,,OLD
audio01.TextGrid,13,6,EROSIONS,68.160,68.830,,DESERT
audio01.TextGrid,13,7,IN,68.830,68.920,,DESERT
audio01.TextGrid,13,8,A,68.920,68.980,,DESERT
